ID,Scaffold,Activity,Canonicalsmiles
164,O=C(Nc1cc2c(s1)CCC2)c1cc[nH]n1,0,O=C(Nc1cc2c(s1)CCC2)c1cc[nH]n1
165,O=C(CN1C(=O)CC(c2ccco2)Sc2ccccc21)Nc1ccc2c(c1)OCCO2,0,O=C(CN1C(=O)CC(c2ccco2)Sc2ccccc21)Nc1ccc2c(c1)OCCO2
166,O=S(=O)(Nc1nc2ccccc2nc1Nc1ccc2c(c1)OCO2)c1ccccc1,0,O=S(=O)(Nc1nc2ccccc2nc1Nc1ccc2c(c1)OCO2)c1ccccc1
167,O=C(Cc1ccccc1)c1c[nH]c(C(=O)NCCCn2ccnc2)c1,0,O=C(Cc1ccccc1)c1c[nH]c(C(=O)NCCCn2ccnc2)c1
168,O=C(Nc1ccc2c(c1)OCO2)Nc1cccc2c1OCCCNC2=O,0,O=C(Nc1ccc2c(c1)OCO2)Nc1cccc2c1OCCCNC2=O
169,O=C(Nc1ccc(S(=O)(=O)Nc2ccno2)cc1)c1cc(-c2ccccc2)nc2ccccc12,0,O=C(Nc1ccc(S(=O)(=O)Nc2ccno2)cc1)c1cc(-c2ccccc2)nc2ccccc12
170,O=C(COc1ccccc1)Nc1ccccn1,0,O=C(COc1ccccc1)Nc1ccccn1
171,c1cn[nH]c1,0,c1cn[nH]c1
172,c1ccc2ncccc2c1,0,c1ccc2ncccc2c1
173,O=C(COc1ccc2ccccc2c1)Nc1nncs1,0,O=C(COc1ccc2ccccc2c1)Nc1nncs1
174,O=c1c2ccccc2ncn1CCc1ccccc1,0,O=c1c2ccccc2ncn1CCc1ccccc1
175,O=C(Nc1cc(-c2ccccc2)cs1)c1cc(-c2ccccc2)on1,0,O=C(Nc1cc(-c2ccccc2)cs1)c1cc(-c2ccccc2)on1
176,O=C(CSc1nnc(-c2ccccc2)n1Cc1ccccc1)NNC(=O)c1ccccc1,0,O=C(CSc1nnc(-c2ccccc2)n1Cc1ccccc1)NNC(=O)c1ccccc1
177,O=C(CCC(=O)N(Cc1ccco1)C(C(=O)NC1CCCC1)c1ccccc1)Nc1ccon1,0,O=C(CCC(=O)N(Cc1ccco1)C(C(=O)NC1CCCC1)c1ccccc1)Nc1ccon1
178,c1ccc(-c2nccc(N3CCOCC3)n2)cc1,0,c1ccc(-c2nccc(N3CCOCC3)n2)cc1
179,O=C(CCCn1ncc2cn(-c3ccccc3)nc2c1=O)NCc1ccco1,0,O=C(CCCn1ncc2cn(-c3ccccc3)nc2c1=O)NCc1ccco1
180,O=S(=O)(Cc1ccccc1)Nc1ccccc1,0,O=S(=O)(Cc1ccccc1)Nc1ccccc1
181,O=C(Nc1ccccc1N1CCNCC1)c1ccc(-c2ccccc2)o1,0,O=C(Nc1ccccc1N1CCNCC1)c1ccc(-c2ccccc2)o1
182,O=C1CCN(Cc2ccccc2)N1,0,O=C1CCN(Cc2ccccc2)N1
183,O=C(CSc1nc2ccsc2c(=O)n1Cc1ccccc1)Nc1ccccc1,0,O=C(CSc1nc2ccsc2c(=O)n1Cc1ccccc1)Nc1ccccc1
184,O=C(CCNS(=O)(=O)c1ccc2[nH]c(=O)[nH]c(=O)c2c1)Nc1ccccc1,0,O=C(CCNS(=O)(=O)c1ccc2[nH]c(=O)[nH]c(=O)c2c1)Nc1ccccc1
185,c1ccc(Oc2ccccc2)cc1,0,c1ccc(Oc2ccccc2)cc1
186,O=S(=O)(Nc1cc(Sc2nc[nH]n2)cc2ccccc12)c1ccccc1,0,O=S(=O)(Nc1cc(Sc2nc[nH]n2)cc2ccccc12)c1ccccc1
187,O=S(=O)(Nc1ccc2c(c1)NCCC2)c1ccccc1,0,O=S(=O)(Nc1ccc2c(c1)NCCC2)c1ccccc1
188,c1ccc(CSc2nnc(-c3cncs3)[nH]2)cc1,0,c1ccc(CSc2nnc(-c3cncs3)[nH]2)cc1
189,O=C(Cn1ncc2cn(-c3ccccc3)nc2c1=O)NCc1cccs1,0,O=C(Cn1ncc2cn(-c3ccccc3)nc2c1=O)NCc1cccs1
190,O=C(C=Cc1ccccc1)NCCc1ccccc1,0,O=C(C=Cc1ccccc1)NCCc1ccccc1
191,O=C(Cn1c(COc2ccccc2)nc2ccccc21)Nc1ccccc1,0,O=C(Cn1c(COc2ccccc2)nc2ccccc21)Nc1ccccc1
192,O=C(CCNS(=O)(=O)c1ccc2[nH]c(=O)[nH]c(=O)c2c1)NCCc1ccccc1,0,O=C(CCNS(=O)(=O)c1ccc2[nH]c(=O)[nH]c(=O)c2c1)NCCc1ccccc1
